base,impact,exploitability,temporal,environmental,modified.impact,overall,critical
1,1,1,1,2,1,2,FALSE
7,5,3,7,4,10,7,TRUE
3,1,1,1,2,1,3,FALSE
8,3,5,4,5,10,1,TRUE
1,1,1,1,10,1,1,FALSE
5,1,3,1,2,1,2,FALSE
2,1,1,1,2,1,3,FALSE
5,10,8,10,8,10,3,TRUE
3,1,1,1,2,1,2,FALSE
3,1,1,1,3,1,2,FALSE
5,1,1,1,2,2,3,FALSE
4,1,1,1,2,1,2,FALSE
3,1,1,1,2,1,1,FALSE
4,1,2,1,2,1,2,FALSE
3,1,1,1,2,1,1,FALSE
2,1,1,1,2,1,1,FALSE
9,5,5,4,4,5,4,TRUE
1,1,1,1,2,5,1,FALSE
2,1,1,1,2,1,2,FALSE
3,4,5,2,6,8,4,TRUE
1,1,1,1,3,2,2,FALSE
3,1,1,3,8,1,5,FALSE
8,8,7,4,10,10,7,TRUE
1,1,1,1,1,1,3,FALSE
7,2,4,1,6,10,5,TRUE
10,10,8,6,4,5,8,TRUE
4,1,1,1,2,3,1,FALSE
1,1,1,1,2,1,1,FALSE
5,5,5,6,3,10,3,TRUE
1,2,2,1,2,1,2,FALSE
2,1,1,1,2,1,3,FALSE
9,9,10,3,6,10,7,TRUE
10,7,7,4,5,10,5,TRUE
4,1,1,1,2,1,3,FALSE
3,1,1,1,2,1,3,FALSE
1,1,1,2,1,3,1,FALSE
4,1,1,1,2,2,3,FALSE
5,6,7,8,8,10,3,TRUE
10,8,10,10,6,1,3,TRUE
3,1,1,1,2,1,3,FALSE
1,1,1,2,1,1,1,FALSE
3,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,3,FALSE
1,1,1,1,2,1,2,FALSE
6,10,10,10,8,10,10,TRUE
8,6,5,4,3,10,6,TRUE
5,8,7,7,10,10,5,TRUE
2,1,1,1,2,1,3,FALSE
5,10,10,3,8,1,5,TRUE
4,1,1,1,2,1,3,FALSE
5,3,3,3,6,10,3,TRUE
1,1,1,1,1,1,3,FALSE
1,1,1,1,2,1,1,FALSE
6,1,1,1,2,1,3,FALSE
5,8,8,8,5,10,7,TRUE
8,7,6,4,4,10,5,TRUE
2,1,1,1,1,1,3,FALSE
1,5,8,6,5,8,7,TRUE
10,5,6,10,6,10,7,TRUE
5,8,4,10,5,8,9,TRUE
1,2,3,1,2,1,3,FALSE
10,10,10,8,6,8,7,TRUE
7,5,10,10,10,10,4,TRUE
5,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,3,FALSE
3,1,1,1,2,1,3,FALSE
4,1,1,1,2,1,3,FALSE
8,4,4,5,4,7,7,FALSE
5,1,1,4,2,1,3,FALSE
1,1,1,1,2,1,1,FALSE
3,1,1,1,2,1,2,FALSE
9,7,7,5,5,10,7,TRUE
10,8,8,4,10,10,8,TRUE
1,1,1,1,2,1,3,FALSE
5,1,1,1,2,1,3,FALSE
1,1,1,1,2,1,3,FALSE
5,10,10,9,6,10,7,TRUE
10,10,9,3,7,5,3,TRUE
1,1,1,1,1,1,3,FALSE
1,1,1,1,1,1,3,FALSE
5,1,1,1,1,1,3,FALSE
8,10,10,10,5,10,8,TRUE
8,10,8,8,4,8,7,TRUE
1,1,1,1,2,1,3,FALSE
10,10,10,10,7,10,7,TRUE
10,10,10,10,3,10,10,TRUE
8,7,8,7,5,5,5,TRUE
1,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,3,FALSE
6,10,7,7,6,4,8,TRUE
6,1,3,1,2,1,3,FALSE
1,1,1,2,2,1,3,FALSE
10,6,4,3,10,10,9,TRUE
4,1,1,3,1,5,2,TRUE
7,5,6,3,3,8,7,TRUE
10,5,5,6,3,10,7,TRUE
1,1,1,1,2,1,2,FALSE
10,5,7,4,4,10,8,TRUE
8,9,9,5,3,5,7,TRUE
1,1,1,1,1,1,3,FALSE
10,10,10,3,10,10,9,TRUE
7,4,7,4,3,7,7,TRUE
6,8,7,5,6,8,8,TRUE
8,4,6,3,3,1,4,FALSE
10,4,5,5,5,10,4,TRUE
3,3,2,1,3,1,3,FALSE
10,8,8,2,8,10,4,TRUE
9,8,8,5,6,2,4,TRUE
8,10,10,8,6,9,3,TRUE
10,4,3,2,3,10,5,TRUE
5,1,3,3,2,2,2,FALSE
3,1,1,3,1,1,3,FALSE
2,1,1,1,2,1,3,FALSE
1,1,1,1,2,5,5,FALSE
1,1,1,1,2,1,3,FALSE
5,1,1,2,2,2,3,FALSE
8,10,10,8,5,10,7,TRUE
8,4,4,1,2,9,3,TRUE
4,1,1,1,2,1,3,FALSE
1,2,2,1,2,1,1,FALSE
10,4,4,10,2,10,5,TRUE
6,3,3,5,3,10,3,FALSE
6,10,10,2,8,10,7,TRUE
9,10,10,1,10,8,3,TRUE
5,6,6,2,4,10,3,TRUE
3,1,1,1,2,1,1,FALSE
3,1,1,1,2,1,2,FALSE
3,1,1,1,2,1,3,FALSE
5,7,7,1,5,8,3,FALSE
10,5,8,10,3,10,5,TRUE
5,10,10,6,10,10,10,TRUE
8,8,9,4,5,10,7,TRUE
10,4,4,10,6,10,5,TRUE
7,9,4,10,10,3,5,TRUE
5,1,4,1,2,1,3,FALSE
10,10,6,3,3,10,4,TRUE
3,3,5,2,3,10,7,TRUE
10,8,8,2,3,4,8,TRUE
1,1,1,1,2,1,3,FALSE
8,4,7,1,3,10,3,TRUE
5,1,1,1,2,1,3,FALSE
3,3,5,2,3,10,7,TRUE
7,2,4,1,3,4,3,TRUE
3,1,1,1,2,1,3,FALSE
3,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,3,FALSE
10,5,7,3,3,7,3,TRUE
3,1,1,1,2,1,3,FALSE
2,1,1,2,2,1,3,FALSE
1,4,3,10,4,10,5,TRUE
10,4,6,1,2,10,5,TRUE
7,4,5,10,2,10,3,TRUE
8,10,10,10,8,10,10,TRUE
10,10,10,10,10,10,4,TRUE
3,1,1,1,3,1,2,FALSE
6,1,3,1,4,5,5,TRUE
5,6,6,8,6,10,4,TRUE
1,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,3,FALSE
10,4,4,6,2,10,2,TRUE
5,5,7,8,6,10,7,TRUE
5,3,4,3,4,5,4,FALSE
8,2,1,1,5,1,1,FALSE
9,1,2,6,4,10,7,TRUE
8,4,10,5,4,4,7,TRUE
1,1,1,1,2,1,3,FALSE
10,10,10,7,9,10,7,TRUE
1,1,1,1,2,1,3,FALSE
8,3,4,9,3,10,3,TRUE
10,8,4,4,4,10,3,TRUE
1,1,1,1,2,1,3,FALSE
1,1,1,1,2,1,3,FALSE
7,8,7,6,4,3,8,TRUE
3,1,1,1,2,5,5,FALSE
2,1,1,1,3,1,2,FALSE
1,1,1,1,2,1,1,FALSE
8,6,4,10,10,1,3,TRUE
1,1,1,1,2,1,1,FALSE
1,1,1,1,1,1,2,FALSE
5,5,5,2,5,10,4,TRUE
6,8,7,8,6,8,8,TRUE
1,1,1,1,5,1,3,FALSE
4,4,4,4,6,5,7,FALSE
7,6,3,2,5,10,7,TRUE
3,1,1,1,2,1,3,FALSE
5,4,6,10,2,10,4,TRUE
1,1,1,1,2,1,3,FALSE
3,2,2,1,2,1,2,FALSE
10,1,1,1,2,10,5,TRUE
1,1,1,1,2,1,2,FALSE
8,10,3,2,6,4,3,TRUE
10,4,6,4,5,10,7,TRUE
10,4,7,2,2,8,6,TRUE
5,1,1,1,2,1,3,FALSE
5,2,2,2,2,1,2,FALSE
5,4,6,6,4,10,4,TRUE
8,6,7,3,3,10,3,TRUE
1,1,1,1,2,1,1,FALSE
6,5,5,8,4,10,3,TRUE
1,1,1,1,2,1,3,FALSE
1,1,1,1,1,1,2,FALSE
8,5,5,5,2,10,4,TRUE
10,3,3,1,2,10,7,TRUE
1,1,1,1,2,1,3,FALSE
2,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,1,FALSE
7,6,4,8,10,10,9,TRUE
1,1,1,1,2,1,1,FALSE
5,2,2,2,3,1,1,FALSE
1,1,1,1,1,1,1,FALSE
3,4,4,10,5,1,3,TRUE
4,2,3,5,3,8,7,TRUE
5,1,1,3,2,1,1,FALSE
2,1,1,1,2,1,3,FALSE
3,4,5,3,7,3,4,FALSE
2,7,10,10,7,10,4,TRUE
1,1,1,1,2,1,2,FALSE
4,1,1,1,3,1,2,FALSE
5,3,3,1,3,3,3,TRUE
8,10,10,7,10,10,7,TRUE
8,10,5,3,8,4,4,TRUE
10,3,5,4,3,7,3,TRUE
6,10,10,10,10,10,8,TRUE
3,10,3,10,6,10,5,TRUE
3,2,2,1,4,3,2,FALSE
4,4,4,2,2,3,2,FALSE
2,1,1,1,2,1,3,FALSE
2,1,1,1,2,1,2,FALSE
6,10,10,10,8,10,7,TRUE
5,8,8,10,5,10,8,TRUE
1,1,3,1,2,1,1,FALSE
1,1,3,1,1,1,2,FALSE
4,3,2,1,3,1,2,FALSE
1,1,3,1,2,1,1,FALSE
4,1,2,1,2,1,2,FALSE
5,1,1,2,2,1,2,FALSE
3,1,2,1,2,1,2,FALSE
1,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,2,FALSE
1,1,1,1,1,1,2,FALSE
3,1,1,4,3,1,2,FALSE
5,3,4,1,4,1,3,FALSE
1,1,1,1,2,1,1,FALSE
10,6,3,6,4,10,7,TRUE
3,2,2,2,2,1,3,FALSE
2,1,1,1,2,1,1,FALSE
2,1,1,1,2,1,1,FALSE
3,3,2,2,3,1,1,FALSE
7,6,6,3,2,10,7,TRUE
5,3,3,2,3,1,3,FALSE
2,1,1,1,2,1,2,FALSE
5,1,1,1,3,2,2,FALSE
1,1,1,2,2,1,2,FALSE
10,8,7,4,3,10,7,TRUE
3,1,1,1,2,1,2,FALSE
1,1,1,1,1,1,1,FALSE
1,2,3,1,2,1,2,FALSE
3,1,1,1,2,1,2,FALSE
3,1,1,1,2,1,3,FALSE
4,1,1,1,2,1,1,FALSE
3,2,1,1,2,1,2,FALSE
1,2,3,1,2,1,1,FALSE
3,10,8,7,6,9,9,TRUE
3,1,1,1,2,1,1,FALSE
5,3,3,1,2,1,2,FALSE
3,1,1,1,2,4,1,FALSE
1,2,1,3,2,1,1,FALSE
1,1,1,1,2,1,2,FALSE
4,2,2,1,2,1,2,FALSE
1,1,1,1,2,1,2,FALSE
2,3,2,2,2,2,3,FALSE
3,1,2,1,2,1,2,FALSE
1,1,1,1,2,1,2,FALSE
10,10,10,6,8,4,8,TRUE
5,1,2,1,2,1,3,FALSE
8,5,6,2,3,10,6,TRUE
3,3,2,6,3,3,3,FALSE
8,7,8,5,10,10,7,TRUE
1,1,1,1,2,1,2,FALSE
5,2,2,2,2,2,3,FALSE
2,3,1,1,5,1,1,FALSE
3,2,2,3,2,3,3,FALSE
10,10,10,7,10,10,8,TRUE
4,3,3,1,2,1,3,FALSE
5,1,3,1,2,1,2,FALSE
3,1,1,1,2,1,1,FALSE
9,10,10,10,10,10,10,TRUE
5,3,6,1,2,1,1,FALSE
8,7,8,2,4,2,5,TRUE
1,1,1,1,2,1,2,FALSE
2,1,1,1,2,1,2,FALSE
1,3,1,1,2,1,2,FALSE
5,1,1,3,4,1,3,FALSE
5,1,1,1,2,1,2,FALSE
3,2,2,3,2,1,1,FALSE
6,9,7,5,5,8,4,FALSE
10,8,10,1,3,10,5,TRUE
10,10,10,1,6,1,2,TRUE
4,1,1,1,2,1,1,FALSE
4,1,3,3,2,1,1,FALSE
5,1,1,1,2,1,1,FALSE
10,4,3,10,4,10,10,TRUE
5,2,2,4,2,4,1,FALSE
1,1,1,3,2,3,1,FALSE
1,1,1,1,2,2,1,FALSE
5,1,1,6,3,1,2,FALSE
2,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,1,FALSE
5,1,1,1,2,1,1,FALSE
1,1,1,1,1,1,1,FALSE
5,7,9,8,6,10,8,TRUE
4,1,1,3,1,1,2,FALSE
5,1,1,1,2,1,1,FALSE
3,1,1,3,2,1,1,FALSE
4,5,5,8,6,10,10,TRUE
2,3,1,1,3,1,1,FALSE
10,2,2,1,2,6,1,TRUE
10,6,5,8,5,10,8,TRUE
8,8,9,6,6,3,10,TRUE
5,1,2,1,2,1,1,FALSE
5,1,3,1,2,1,1,FALSE
5,1,1,3,2,1,1,FALSE
3,1,1,1,2,5,1,FALSE
6,1,1,3,2,1,1,FALSE
4,1,1,1,2,1,1,FALSE
4,1,1,1,2,1,1,FALSE
10,9,8,7,6,4,7,TRUE
10,6,6,2,4,10,9,TRUE
6,6,6,5,4,10,7,TRUE
4,1,1,1,2,1,1,FALSE
1,1,2,1,2,1,2,FALSE
3,1,1,1,1,1,2,FALSE
6,1,1,3,2,1,1,FALSE
6,1,1,1,1,1,1,FALSE
4,1,1,1,2,1,1,FALSE
5,1,1,1,2,1,1,FALSE
3,1,1,1,2,1,1,FALSE
4,1,2,1,2,1,1,FALSE
4,1,1,1,2,1,1,FALSE
5,2,1,1,2,1,1,FALSE
4,8,7,10,4,10,7,TRUE
5,1,1,1,1,1,1,FALSE
5,3,2,4,2,1,1,FALSE
9,10,10,10,10,5,10,TRUE
8,7,8,5,5,10,9,TRUE
5,1,2,1,2,1,1,FALSE
1,1,1,3,1,3,1,FALSE
3,1,1,1,1,1,2,FALSE
10,10,10,10,6,10,8,TRUE
3,6,4,10,3,3,3,TRUE
6,3,2,1,3,4,4,TRUE
1,1,1,1,2,1,1,FALSE
5,8,9,4,3,10,7,TRUE
4,1,1,1,1,1,2,FALSE
5,10,10,10,6,10,6,TRUE
5,1,2,10,4,5,2,FALSE
3,1,1,1,1,1,2,FALSE
1,1,1,1,1,1,1,FALSE
4,2,1,1,2,1,1,FALSE
4,1,1,1,2,1,2,FALSE
4,1,1,1,2,1,2,FALSE
6,1,1,1,2,1,3,FALSE
4,1,1,1,2,1,2,FALSE
4,1,1,2,2,1,2,FALSE
4,1,1,1,2,1,3,FALSE
1,1,1,1,2,1,1,FALSE
3,3,1,1,2,1,1,FALSE
8,10,10,10,7,5,4,TRUE
1,1,1,1,2,4,1,FALSE
5,1,1,1,2,1,1,FALSE
2,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,1,FALSE
5,1,1,1,2,1,2,FALSE
5,1,1,1,2,1,1,FALSE
3,1,1,1,1,1,2,FALSE
6,6,7,10,3,10,8,TRUE
4,10,4,7,3,10,9,TRUE
1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,2,FALSE
3,1,2,2,2,1,1,FALSE
4,7,8,3,4,10,9,TRUE
1,1,1,1,3,1,1,FALSE
4,1,1,1,3,1,1,FALSE
10,4,5,4,3,5,7,TRUE
7,5,6,10,4,10,5,TRUE
3,1,1,1,2,1,2,FALSE
3,1,1,2,2,1,1,FALSE
4,1,1,1,2,1,1,FALSE
4,1,1,1,2,1,3,FALSE
6,1,3,2,2,1,1,FALSE
4,1,1,1,1,1,2,FALSE
7,4,4,3,4,10,6,TRUE
4,2,2,1,2,1,2,FALSE
1,1,1,1,1,1,3,FALSE
3,1,1,1,2,1,2,FALSE
2,1,1,1,2,1,2,FALSE
1,1,3,2,2,1,3,FALSE
5,1,1,1,2,1,3,FALSE
5,1,2,1,2,1,3,FALSE
4,1,1,1,2,1,2,FALSE
6,1,1,1,2,1,2,FALSE
5,1,1,1,2,2,2,FALSE
3,1,1,1,2,1,1,FALSE
5,3,1,1,2,1,1,FALSE
4,1,1,1,2,1,2,FALSE
2,1,3,2,2,1,2,FALSE
5,1,1,1,2,1,2,FALSE
6,10,10,10,4,10,7,TRUE
2,1,1,1,1,1,1,FALSE
3,1,1,1,1,1,1,FALSE
7,8,3,7,4,5,7,TRUE
3,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,3,FALSE
3,2,2,2,2,1,4,FALSE
4,4,2,1,2,5,2,FALSE
3,1,1,1,2,1,1,FALSE
4,3,1,1,2,1,4,FALSE
5,2,2,2,1,1,2,FALSE
5,1,1,3,2,1,1,FALSE
2,1,1,1,2,1,2,FALSE
5,1,1,1,2,1,2,FALSE
5,1,1,1,2,1,3,FALSE
5,1,1,1,2,1,3,FALSE
1,1,1,1,2,1,3,FALSE
3,1,1,1,2,1,2,FALSE
4,1,1,1,2,1,3,FALSE
5,7,10,10,5,10,10,TRUE
3,1,2,1,2,1,3,FALSE
4,1,1,1,2,3,2,FALSE
8,4,4,1,6,10,2,TRUE
10,10,8,10,6,5,10,TRUE
8,10,4,4,8,10,8,TRUE
7,6,10,5,3,10,9,TRUE
3,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,2,FALSE
10,9,7,3,4,2,7,TRUE
5,1,2,1,2,1,3,FALSE
5,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,3,FALSE
5,1,2,1,2,1,2,FALSE
5,7,10,6,5,10,7,TRUE
6,10,5,5,4,10,6,TRUE
3,1,1,1,2,1,1,FALSE
5,1,1,6,3,1,1,FALSE
1,1,1,1,2,1,1,FALSE
8,10,10,10,6,10,10,TRUE
5,1,1,1,2,1,2,FALSE
9,8,8,9,6,3,4,TRUE
5,1,1,1,2,1,1,FALSE
4,10,8,5,4,1,10,TRUE
2,5,7,6,4,10,7,TRUE
10,3,4,5,3,10,4,TRUE
5,1,2,1,2,1,1,FALSE
4,8,6,3,4,10,7,TRUE
5,1,1,1,2,1,2,FALSE
4,1,2,1,2,1,2,FALSE
5,1,3,1,2,1,3,FALSE
3,1,1,1,2,1,2,FALSE
5,2,4,1,1,1,1,FALSE
3,1,1,1,2,1,2,FALSE
1,1,1,1,1,1,2,FALSE
4,1,1,1,2,1,2,FALSE
5,4,6,8,4,1,8,TRUE
5,3,2,8,5,10,8,TRUE
10,5,10,3,5,8,7,TRUE
4,1,1,2,2,1,1,FALSE
1,1,1,1,2,1,1,FALSE
5,10,10,10,10,10,10,TRUE
5,1,1,1,2,1,1,FALSE
10,4,3,10,3,10,7,TRUE
5,10,10,10,5,2,8,TRUE
8,10,10,10,6,10,10,TRUE
2,3,1,1,2,1,2,FALSE
2,1,1,1,1,1,2,FALSE
4,1,3,1,2,1,2,FALSE
3,1,1,1,2,1,2,FALSE
4,1,1,1,2,1,2,FALSE
5,1,1,1,2,1,2,FALSE
3,1,1,1,2,1,2,FALSE
6,3,3,3,3,2,6,FALSE
7,1,2,3,2,1,2,FALSE
1,1,1,1,2,1,1,FALSE
5,1,1,2,1,1,2,FALSE
3,1,3,1,3,4,1,FALSE
4,6,6,5,7,6,7,TRUE
2,1,1,1,2,5,1,FALSE
2,1,1,1,2,1,1,FALSE
4,1,1,1,2,1,1,FALSE
6,2,3,1,2,1,1,FALSE
5,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,1,FALSE
8,7,4,4,5,3,5,TRUE
3,1,1,1,2,1,1,FALSE
3,1,4,1,2,1,1,FALSE
10,10,7,8,7,1,10,TRUE
4,2,4,3,2,2,2,FALSE
4,1,1,1,2,1,1,FALSE
5,1,1,3,2,1,1,FALSE
4,1,1,3,2,1,1,FALSE
3,1,1,1,2,1,2,FALSE
3,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,1,FALSE
2,1,1,1,2,1,1,FALSE
3,1,1,1,2,1,2,FALSE
1,2,2,1,2,1,1,FALSE
1,1,1,3,2,1,1,FALSE
5,10,10,10,10,2,10,TRUE
3,1,1,1,2,1,2,FALSE
3,1,1,2,3,4,1,FALSE
1,2,1,3,2,1,2,FALSE
5,1,1,1,2,1,2,FALSE
4,1,1,1,2,1,2,FALSE
3,1,1,1,2,1,3,FALSE
3,1,1,1,2,1,2,FALSE
5,1,1,1,2,1,2,FALSE
5,4,5,1,8,1,3,FALSE
7,8,8,7,3,10,7,TRUE
1,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,2,FALSE
4,1,1,1,2,1,3,FALSE
1,1,3,1,2,1,2,FALSE
1,1,3,1,2,1,2,FALSE
3,1,1,3,2,1,2,FALSE
1,1,1,1,2,1,1,FALSE
5,2,2,2,2,1,1,FALSE
3,1,1,1,2,1,3,FALSE
5,7,4,1,6,1,7,TRUE
5,10,10,8,5,5,7,TRUE
3,10,7,8,5,8,7,TRUE
3,2,1,2,2,1,3,FALSE
2,1,1,1,2,1,3,FALSE
5,3,2,1,3,1,1,FALSE
1,1,1,1,2,1,2,FALSE
4,1,4,1,2,1,1,FALSE
1,1,2,1,2,1,2,FALSE
5,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,1,FALSE
2,1,1,1,2,1,1,FALSE
10,10,10,10,5,10,10,TRUE
5,10,10,10,4,10,5,TRUE
5,1,1,1,2,1,3,FALSE
1,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,1,FALSE
3,1,1,1,2,1,2,FALSE
4,1,1,1,2,1,1,FALSE
1,1,1,1,2,1,1,FALSE
1,1,1,3,2,1,1,FALSE
5,10,10,5,4,5,4,TRUE
3,1,1,1,2,1,1,FALSE
3,1,1,1,2,1,2,FALSE
3,1,1,1,3,2,1,FALSE
2,1,1,1,2,1,1,FALSE
5,10,10,3,7,3,8,TRUE
4,8,6,4,3,4,10,TRUE
4,8,8,5,4,5,10,TRUE
